SampleCode	IsDependent	RunApi
CaptureFundsAuthorizedThroughAnotherChannel	1	1
PayPalAuthorizeOnly	1	1
CreateSubscription	1	1
CreateSubscriptionFromCustomerProfile	1	1
AuthorizeCreditCard	1	1
GetCustomerShippingAddress	1	1
GetCustomerProfile	1	1
GetAcceptCustomerProfilePage	1	1
GetCustomerPaymentProfile	1	1
DeleteCustomerProfile	1	1
DeleteCustomerPaymentProfile	1	1
CreateCustomerShippingAddress	1	1
CreateSubscription	1	1
CancelSubscription	1	1
GetSubscriptionStatus	1	1
GetSubscription	1	1
UpdateSubscription	1	1
CreateCustomerProfile	1	1
CreateCustomerPaymentProfile	1	1
GetAnAcceptPaymentPage	1	1
ChargeCustomerProfile	1	1
UpdateCustomerPaymentProfile	1	1
UpdateCustomerProfile	1	1
UpdateCustomerShippingAddress	1	1
ValidateCustomerPaymentProfile	1	1
